scl,26205,N/A
scl,25155,N/A
scl,25055,N/A
scl,3023,N/A
scl,1150,N/A
scl,25160,N/A
ngpc,74025,N/A
ngpc,5297,N/A
ngpc,75972,N/A
ngpc,65652,N/A
ngpc,78775,N/A
ngpc,2803,N/A
ngpc,78780,N/A
rok,1247430,N/A
rok,1247690,N/A
rok,1247646,N/A
rok,100810,N/A
rok,1250171,N/A
rok,1250000,N/A
rok,8295,N/A
rok,1248000,N/A
rok,1241616,N/A
rol,44292,N/A
rol,259180,N/A
rol,258940,N/A
rol,258640,N/A
rol,250489,N/A
rol,8451,N/A
rol,249954,N/A
rol,261677,N/A
rol,250789,N/A
roc,670010,N/A
roc,670007,N/A
roc,46248,N/A
roc,667567,N/A
roc,4626,N/A
roc,668753,N/A
roc,669453,N/A
alb,472902,N/A
alb,472540,N/A
alb,34478,N/A
alb,468855,N/A
alb,470920,N/A
alb,2946,N/A
alb,472542,N/A
alb,471761,N/A
alc,53735,N/A
alc,52970,N/A
alc,3402,N/A
alc,52967,N/A
alc,3328,N/A
alc,50433,N/A
edr,477142,N/A
edr,523121,N/A
edr,523321,N/A
edr,523320,N/A
edr,61686,N/A
edr,523721,N/A
edr,9563,N/A
edr,532684,N/A
nwe,29246,N/A
nwe,195200,N/A
nwe,187137,N/A
nwe,196847,N/A
nwe,5125,N/A
nwe,190077,N/A
nwe,195202,N/A
ge,28207078,N/A
ge,54581595,N/A
ge,54570851,N/A
ge,51307877,N/A
ge,54575830,N/A
ge,54572951,N/A
ge,47015680,N/A
ge,54571000,N/A
ge,49840000,N/A
ge,54576330,N/A
ge,51560771,N/A
ge,54571725,N/A
ge,4746121,N/A
ge,52336562,N/A
ge,50239797,N/A
ge,316867,N/A
ge,49839968,N/A
ge,45859153,N/A
ge,50317892,N/A
gd,1450005,N/A
gd,1450405,N/A
gd,1450000,N/A
gd,1216969,N/A
gd,4386,N/A
gd,1449505,N/A
gd,1450778,N/A
gd,1453891,N/A
gd,1450305,N/A
gd,288678,N/A
gd,1450705,N/A
lxrx,541400,N/A
lxrx,565170,N/A
lxrx,565171,N/A
lxrx,540300,N/A
lxrx,136824,N/A
lxrx,31521,N/A
lxrx,571871,N/A
lxrx,687467,N/A
lll,3807,N/A
lll,721616,N/A
lll,721620,N/A
lll,59568,N/A
lll,720659,N/A
lll,718109,N/A
lll,721916,N/A
rop,1500000,N/A
rop,1494000,N/A
rop,1495611,N/A
rop,6192,N/A
rop,1490568,N/A
rop,66109,N/A
rop,1495911,N/A
rop,1493959,N/A
ptv,1120,N/A
ptv,181350,N/A
ptv,5161621,N/A
ptv,7499619,N/A
ptv,7500000,N/A
scs,730864,N/A
scs,727739,N/A
scs,727740,N/A
scs,717441,N/A
scs,34481,N/A
scs,10598,N/A
scs,710081,N/A
cfnl,4888,N/A
cfnl,58410,N/A
cfnl,53222,N/A
cfnl,67446,N/A
cfnl,57273,N/A
cfnl,57270,N/A
cfnl,50220,N/A
cfnl,15986,N/A
plce,455021,N/A
plce,44555,N/A
plce,432782,N/A
plce,457179,N/A
plce,464723,N/A
plce,460844,N/A
plce,460744,N/A
plce,461628,N/A
plce,6084,N/A
plce,461044,N/A
