1,157
1,348
4,149
4,228
4,387
4,192
11,378
11,83
11,101
11,363
12,211
16,9
16,209
16,239
16,29
21,287
21,172
21,214
21,148
22,82
22,99
22,69
26,29
26,184
26,339
26,192
29,168
29,180
29,313
30,202
31,210
31,359
31,39
31,353
32,82
33,398
33,258
35,374
35,24
35,335
35,99
37,88
37,179
37,291
37,36
38,347
38,252
38,206
38,295
41,81
41,341
41,282
41,374
45,161
45,114
45,59
45,332
46,292
46,74
46,108
46,97
49,209
49,1
49,190
54,158
54,289
54,22
54,267
55,381
55,121
57,168
57,137
57,167
57,86
58,155
58,8
58,399
58,8
59,198
59,59
59,202
59,58
60,85
60,55
60,393
60,122
61,357
61,304
61,68
61,71
63,258
63,43
63,33
63,115
64,201
64,368
64,299
65,138
66,189
66,247
66,296
66,104
67,1
67,147
67,379
67,226
69,216
69,29
69,127
69,78
72,231
72,154
72,89
72,339
74,9
74,198
74,327
74,101
75,113
75,204
75,161
75,123
77,355
77,377
77,267
77,107
82,196
82,57
82,172
83,224
83,147
83,340
83,292
85,29
85,153
85,4
85,42
86,285
86,79
86,303
86,132
88,180
88,229
88,124
90,370
90,213
90,298
90,146
92,130
92,176
92,339
92,147
94,200
94,273
94,173
94,151
96,69
96,59
96,345
96,187
98,230
98,227
103,379
103,315
103,377
103,101
104,129
104,391
104,92
104,295
110,247
110,207
110,104
110,26
115,150
115,370
115,159
115,165
118,310
118,353
118,268
118,341
122,211
122,330
122,124
122,17
124,352
124,311
127,388
127,370
127,81
127,238
129,298
129,361
129,182
129,169
132,391
132,36
132,130
135,247
135,199
135,164
135,115
138,253
138,357
138,372
140,26
140,374
140,271
141,11
141,10
142,105
149,219
149,21
149,165
149,249
150,59
150,15
150,37
150,131
153,252
153,189
153,278
153,282
161,396
161,250
161,115
166,303
166,31
166,246
166,332
174,13
174,255
174,316
174,399
177,385
177,222
178,187
178,341
178,248
180,134
180,112
180,167
180,2
181,212
181,297
181,372
181,276
183,74
184,301
184,68
184,79
184,284
185,61
185,317
185,168
185,372
186,27
192,227
193,51
193,111
193,184
193,292
